Handle,Title,Type,Tags,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price
altarhorn-mini-wallet-skull-a-palooza,"""Altarhorn"" Mini Wallet SKULL-A-PALOOZA",Mini Wallet SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,14.95,39.95
nightrosary-mini-wallet-skull-a-palooza,"""Nightrosary"" Mini Wallet SKULL-A-PALOOZA",Mini Wallet SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,14.95,39.95
blacklitany-mini-wallet-skull-a-palooza,"""Blacklitany"" Mini Wallet SKULL-A-PALOOZA",Mini Wallet SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,14.95,39.95
obscuria-small-leather-bag-skull-a-palooza,"""Obscuria"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,9.95,131.95
purple-skull-scarlet-bloom-small-leather-bag-skull-a-palooza,"""Bloodrose"" Poison Plum Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
morthwing-black-interior-small-leather-handbag-skull-a-palooza,"""Morthwing"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,9.95,131.95
altarhorn-black-interior-small-leather-handbag-skull-a-palooza,"""Altarhorn"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,29.95,131.95
triskelion-black-interior-small-leather-handbag-skull-a-palooza,"""Triskelion"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,29.95,131.95
noctaflora-small-leather-bag-skull-a-palooza,"""Noctaflora"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
hexram-black-interior-small-leather-handbag-skull-a-palooza,"""Hexram"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,29.95,131.95
wraithbone-black-interior-small-leather-handbag-skull-a-palooza,"""Wraithbone"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,29.95,131.95
la-roja-small-leather-bag-skull-a-palooza,"""La Roja"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
noxaria-black-interior-small-leather-handbag-skull-a-palooza,"""Noxaria"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,35.95,131.95
roselace-small-leather-bag-skull-a-palooza,"""Roselace"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
frostmourne-small-leather-bag-skull-a-palooza,"""Frostmourne"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,33.95,131.95
catrinelle-small-leather-bag-skull-a-palooza,"""Catrinelle"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
venomina-black-interior-small-leather-handbag-skull-a-palooza,"""Venomina"" - Black Interior - Small Leather Handbag SKULL-A-PALOOZA",Black Interior - Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Vegan Leather,31.95,131.95
deathmark-small-leather-bag-skull-a-palooza,"""Deathmark"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,29.95,131.95
bloodrose-small-leather-bag-skull-a-palooza,"""Bloodrose"" Small Leather Bag SKULL-A-PALOOZA",Small Leather Handbag SKULL-A-PALOOZA,"hide-search, recomatic-no",Material,Premium Faux Leather,39.95,131.95
